pid,faceid,cosmetics,ICS,attr
ppt_1,face_4,With,0.9785657101541108,3.0
ppt_1,face_66,Without,0.9785657101541108,4.0
ppt_1,face_32,With,0.9785657101541108,1.0
ppt_1,face_21,With,0.9785657101541108,3.0
ppt_1,face_67,Without,0.9785657101541108,5.0
ppt_1,face_28,Without,0.9785657101541108,4.0
ppt_1,face_33,With,0.9785657101541108,3.0
ppt_1,face_52,With,0.9785657101541108,4.0
ppt_1,face_9,Without,0.9785657101541108,2.0
ppt_1,face_30,With,0.9785657101541108,4.0
ppt_1,face_43,Without,0.9785657101541108,3.0
ppt_1,face_19,With,0.9785657101541108,3.0
ppt_1,face_3,Without,0.9785657101541108,3.0
ppt_1,face_33,Without,0.9785657101541108,4.0
ppt_1,face_57,Without,0.9785657101541108,4.0
ppt_1,face_36,With,0.9785657101541108,3.0
ppt_1,face_49,Without,0.9785657101541108,2.0
ppt_1,face_22,Without,0.9785657101541108,7.0
ppt_1,face_34,With,0.9785657101541108,4.0
ppt_1,face_41,With,0.9785657101541108,1.0
ppt_1,face_2,Without,0.9785657101541108,4.0
ppt_1,face_35,Without,0.9785657101541108,5.0
ppt_1,face_50,With,0.9785657101541108,2.0
ppt_1,face_31,Without,0.9785657101541108,4.0
ppt_1,face_8,Without,0.9785657101541108,3.0
ppt_1,face_13,With,0.9785657101541108,4.0
ppt_1,face_47,With,0.9785657101541108,5.0
ppt_1,face_38,With,0.9785657101541108,7.0
ppt_1,face_64,With,0.9785657101541108,2.0
ppt_1,face_22,With,0.9785657101541108,5.0
ppt_1,face_29,Without,0.9785657101541108,4.0
ppt_1,face_62,With,0.9785657101541108,4.0
ppt_1,face_8,With,0.9785657101541108,2.0
ppt_1,face_65,With,0.9785657101541108,3.0
ppt_1,face_25,Without,0.9785657101541108,5.0
ppt_1,face_15,With,0.9785657101541108,4.0
ppt_1,face_61,With,0.9785657101541108,3.0
ppt_1,face_58,With,0.9785657101541108,1.0
ppt_1,face_26,Without,0.9785657101541108,4.0
ppt_1,face_1,With,0.9785657101541108,2.0
ppt_1,face_37,Without,0.9785657101541108,4.0
ppt_1,face_60,Without,0.9785657101541108,6.0
ppt_1,face_67,With,0.9785657101541108,5.0
ppt_1,face_46,Without,0.9785657101541108,4.0
ppt_1,face_55,With,0.9785657101541108,4.0
ppt_1,face_17,With,0.9785657101541108,7.0
ppt_1,face_23,With,0.9785657101541108,2.0
ppt_1,face_13,Without,0.9785657101541108,5.0
ppt_1,face_21,Without,0.9785657101541108,2.0
ppt_1,face_16,With,0.9785657101541108,3.0
ppt_1,face_14,Without,0.9785657101541108,2.0
ppt_1,face_32,Without,0.9785657101541108,5.0
ppt_1,face_9,With,0.9785657101541108,2.0
ppt_1,face_34,Without,0.9785657101541108,4.0
ppt_1,face_63,With,0.9785657101541108,3.0
ppt_1,face_52,Without,0.9785657101541108,6.0
ppt_1,face_48,With,0.9785657101541108,2.0
ppt_1,face_51,With,0.9785657101541108,5.0
ppt_1,face_23,Without,0.9785657101541108,4.0
ppt_1,face_39,With,0.9785657101541108,4.0
ppt_1,face_12,Without,0.9785657101541108,3.0
ppt_1,face_69,Without,0.9785657101541108,3.0
ppt_1,face_20,With,0.9785657101541108,2.0
ppt_1,face_45,With,0.9785657101541108,3.0
ppt_1,face_24,Without,0.9785657101541108,4.0
ppt_1,face_61,Without,0.9785657101541108,4.0
ppt_1,face_68,Without,0.9785657101541108,3.0
